split,bits,margin,comparison,delta,ci_low,ci_high,source_groups,keys
test,1,0.0,outlier-minus-matched,,,,0,0
test,1,0.0001,outlier-minus-matched,,,,0,0
test,1,0.0005,outlier-minus-matched,,,,0,0
test,1,0.001,outlier-minus-matched,,,,0,0
test,2,0.0,outlier-minus-matched,,,,0,0
test,2,0.0001,outlier-minus-matched,,,,0,0
test,2,0.0005,outlier-minus-matched,,,,0,0
test,2,0.001,outlier-minus-matched,,,,0,0
test,3,0.0,outlier-minus-matched,,,,0,0
test,3,0.0001,outlier-minus-matched,,,,0,0
test,3,0.0005,outlier-minus-matched,,,,0,0
test,3,0.001,outlier-minus-matched,,,,0,0
ood,1,0.0,outlier-minus-matched,,,,0,0
ood,1,0.0001,outlier-minus-matched,,,,0,0
ood,1,0.0005,outlier-minus-matched,,,,0,0
ood,1,0.001,outlier-minus-matched,,,,0,0
ood,2,0.0,outlier-minus-matched,,,,0,0
ood,2,0.0001,outlier-minus-matched,,,,0,0
ood,2,0.0005,outlier-minus-matched,,,,0,0
ood,2,0.001,outlier-minus-matched,,,,0,0
ood,3,0.0,outlier-minus-matched,,,,0,0
ood,3,0.0001,outlier-minus-matched,,,,0,0
ood,3,0.0005,outlier-minus-matched,,,,0,0
ood,3,0.001,outlier-minus-matched,,,,0,0
